Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
TLVS;ОАО "Тамбовское спиртоводочное предприятие "Талвис";15/05/2012;20/04/2012;;;;;2011;20/04/2012;Интерфакс;6831000321
SELG;ОАО "Селигдар";28/06/2012;21/04/2012;0.15;;;;2011;20/04/2012;Интерфакс;1402047184
NORR;ОАО "Нормаль";21/06/2012;11/05/2012;0;;;;2011;20/04/2012;Интерфакс;5257005345
UFOS;ОАО "Уфаоргсинтез";08/06/2012;26/04/2012;0.1;0.1;;;2011;20/04/2012;Интерфакс;0277014204
UFNC;ОАО "Уфанефтехим";25/06/2012;18/05/2012;0.1;0.1;;;2011;20/04/2012;Интерфакс;0277012020
SMTL;ОАО "Самотлорнефть";14/06/2012;04/05/2012;0;;;;;27/04/2012;Интерфакс;8603032215
VRAO;ОАО "РАО Энергетические системы Востока";06/06/2012;26/04/2012;0;0;0;0;2011;26/04/2012;Интерфакс;2801133630
RUSP;ОАО "Русполимет";07/06/2012;28/04/2012;0;;;;2011;27/04/2012;Интерфакс;5251008501
HANF;ОАО "Хабаровскнефтепродукт";21/06/2012;05/05/2012;0;0.1;;;2011;24/04/2012;Интерфакс;2700000105
ISKJ;ОАО "Институт Стволовых Клеток Человека";21/06/2012;03/05/2012;0;;;;2011;23/04/2012;Интерфакс;7702508905
YRSL;ОАО КБ "Ярославич";07/06/2012;20/04/2012;0;;;;2011;23/04/2012;Интерфакс;7604014087
YAR7;ОАО "АТП Ярэнерго-Холдинг";27/06/2012;10/05/2012;0;0;;;2011;26/04/2012;Интерфакс;7606051849
TSES;ОАО "Трест "Севэнергострой";21/06/2012;03/05/2012;0;;;;2011;25/04/2012;Интерфакс;7825333010
ZOYA;ОАО "Золото Якутии";25/06/2012;21/05/2012;;;;;2011;26/04/2012;Интерфакс;1435028437
ILIM;ОАО "Группа "Илим";19/06/2012;14/05/2012;;;;;2011;27/04/2012;Интерфакс;7840346335
LKOH;ОАО "Нефтяная компания "ЛУКойл";27/06/2012;11/05/2012;75;;;;2011;27/04/2012;Интерфакс;7708004767
KABE;ОАО "Каббалкэнерго";08/06/2012;27/04/2012;0;0;;;2011;26/04/2012;Интерфакс;0711008455
MAGE;ОАО "Э и Э "Магаданэнерго";21/06/2012;12/05/2012;0;0.034920917541;;;2011;24/04/2012;Интерфакс;4909047148
OMKA;ОАО "Омский каучук";08/06/2012;23/04/2012;;;;;;23/04/2012;Интерфакс;5501023216
PTRL;ОАО Компания "РУСИА Петролеум";26/06/2012;11/05/2012;;;;;;27/04/2012;Интерфакс;3807001632
KCHE;ОАО "Камчатскэнерго";19/06/2012;05/05/2012;0;0;;;2011;27/04/2012;Интерфакс;4100000668
SZES;ОАО "Севзапэлектросетьстрой";21/05/2012;20/04/2012;0;;0;;2011;23/04/2012;Интерфакс;7815015548
ARSE;ОАО "Машиностроительный завод "Арсенал";30/05/2012;24/04/2012;0;;0;;2011;24/04/2012;Интерфакс;7804040302
SVTZ;ОАО "Северский Трубный Завод";01/06/2012;21/04/2012;16.5;;16.5;;2011;23/04/2012;Интерфакс;6626002291
PMSB;ОАО "Пермская энергосбытовая компания";31/05/2012;23/04/2012;7.265929;7.265929;7.265929;7.265929;2011;26/04/2012;Интерфакс;5904123809
NZGZ;ОАО "Нижневартовскнефтегаз";13/06/2012;04/05/2012;0;0;;;2011;27/04/2012;Интерфакс;8603028882
TUZA;ОАО "Туймазинский завод автобетоновозов";30/05/2012;20/04/2012;0;;0;;2011;23/04/2012;Интерфакс;0269008334
TAMZ;ОАО "Таганрогский металлургический завод";29/05/2012;18/04/2012;0;;0;;2011;24/04/2012;Интерфакс;6154011797
SAGO;ОАО Э и Э "Самараэнерго";31/05/2012;20/04/2012;0.172374664;0.172374664;0.172374664;0.172374664;2011;23/04/2012;Интерфакс;6315222985
RITM;ОАО "Ритм" Тверское производство тормозной аппаратуры;04/06/2012;25/04/2012;;;;;;24/04/2012;Интерфакс;6902006851
CLSB;ОАО "Челябэнергосбыт";01/06/2012;26/04/2012;0;0;0;0;2011;27/04/2012;Интерфакс;7451213318
UDMG;ОАО "Удмуртгеология";08/06/2012;26/04/2012;0;;;;2011;24/04/2012;Интерфакс;1835011614
TGKN;ОАО "Территориальная генерирующая компания №14";15/06/2012;26/04/2012;0;;;;2011;25/04/2012;Интерфакс;7534018889
MNPZ;ОАО "Газпромнефть - Московский НПЗ";14/06/2012;04/05/2012;;134;;;2011;25/04/2012;Интерфакс;7723006328
PRTA;ОАО "Чебоксарский завод промышленных тракторов";19/06/2012;05/05/2012;0;0;;;2011;23/04/2012;Интерфакс;2126003074
MVID;ОАО "Компания "М.видео";22/06/2012;16/05/2012;5.8;;;;2011;26/04/2012;Интерфакс;7707602010
KTYR;ОАО "Калужский Турбинный завод";30/05/2012;20/04/2012;0;0;0;0;2011;24/04/2012;Интерфакс;4026007424
NKTU;ОАО "Нижнекамский завод технического углерода";17/05/2012;20/04/2012;;;;;2011;24/04/2012;ДКК;1651000041
PDMS;ОАО "Подольский машиностроительный завод";08/06/2012;26/04/2012;0;;;;2011;27/04/2012;Интерфакс;5036011735
IESK;ОАО  "Иркутская электросетевая компания";05/06/2012;19/04/2012;0.01366;;;;2011;23/04/2012;Интерфакс;3812122706
TESR;ОАО "Томскэлектросетьремонт";08/06/2012;20/04/2012;0;0;;;2011;24/04/2012;ДКК;7017114697
AKIL;ОАО "Авиационный комплекс им.С.В.Ильюшина";01/06/2012;17/04/2012;0;;;;2011;23/04/2012;Интерфакс;7714027882
OGKB;ОАО Вторая Ген.Компания оптового рынка электроэнергии ОГК-2;22/06/2012;17/05/2012;0.000998761;;;;2011;23/04/2012;Интерфакс;2607018122
UFMO;ОАО "Уфимское моторостроительное ПО";31/05/2012;24/04/2012;0.36;;0.36;;2011;25/04/2012;Интерфакс;0273008320
SUMZ;ОАО "Среднеуральский медеплавильный завод";15/06/2012;30/04/2012;0;;;;2011;26/04/2012;Интерфакс;6627001318
KMAP;ОАО "КМАпроектжилстрой";18/05/2012;23/04/2012;;;;;2011;25/04/2012;ДКК;3128001437
KRGS;ОАО "Краснодаргазстрой";01/06/2012;26/04/2012;710;;710;;2011;27/04/2012;Интерфакс;2308024336
APSZ;ОАО "Арзамасский приборостроительный завод";31/05/2012;20/04/2012;280;;;;2011;23/04/2012;Интерфакс;5243001742
ARNC;ОАО "Компания "Арнест";17/05/2012;26/04/2012;;;;;2011;26/04/2012;Интерфакс;2631026460
VASO;ОАО "Воронежское самолетостроительное общество";24/05/2012;17/04/2012;0;0;;;2011;25/04/2012;ДКК;3650000959
KRSB;ОАО "Красноярскэнергосбыт";04/06/2012;20/04/2012;0;0;0;0;2011;24/04/2012;Интерфакс;2466132221
ZKDB;ОАО "Завод крупнопанельного домостроения №2";17/05/2012;26/04/2012;;;;;2011;26/04/2012;Интерфакс;7328007465
BRSZ;ОАО "Березниковский содовый завод";21/06/2012;10/05/2012;0;0;;;2011;24/04/2012;Интерфакс;5911013780
VAZZ;ОАО "Волжский абразивный завод";25/06/2012;15/05/2012;300;80;;;2011;24/04/2012;Интерфакс;3435000467
KSIZ;ОАО "Костромской силикатный завод";25/05/2012;11/05/2012;;;;;2011;23/04/2012;Интерфакс;4400000108
LNZL;Ленское золотодобывающее ОАО "Лензолото";05/06/2012;30/04/2012;0;1.7;0;1.7;2011;25/04/2012;Интерфакс;3802000096
SGRS;ОАО "Спецгазремстрой" Открытого акционерного общества "Газпром";31/05/2012;24/04/2012;11.48;11.48;11.48;11.48;2011;25/04/2012;Интерфакс;7720018533
VOSB;ОАО "Вологодская сбытовая компания";06/06/2012;28/04/2012;2.46;;;;2011;27/04/2012;ДКК;3525154831
TGKA;ОАО "Территориальная генерирующая компания №1";18/06/2012;02/05/2012;0.000048741;;;;2011;23/04/2012;Интерфакс;7841312071
NKNC;ОАО "Нижнекамскнефтехим";14/06/2012;26/04/2012;2.36;2.36;;;2011;25/04/2012;Эмитент;1651000010
SNGS;ОАО "Сургутнефтегаз";29/06/2012;14/05/2012;0.6;2.15;;;2011;24/04/2012;Интерфакс;8602060555
GYBB;ОАО "Гулькевичский завод бетонных блоков "Блок";31/05/2012;03/05/2012;;;;;2011;25/04/2012;Интерфакс;2329004997
IRKT;ОАО "Научно-производственная корпорация "Иркут";01/06/2012;20/04/2012;0.44;;0.44;;2011;23/04/2012;Интерфакс;3807002509
CEGZ;Дочернее ОАО "Центрэнергогаз" Открытого акционерного общества "Газпром";23/05/2012;23/04/2012;0;122.83;0;122.83;2011;23/04/2012;Интерфакс;5050002450
ARSA;ОАО "Управляющая Компания "Арсагера";14/06/2012;27/04/2012;0;;;;2011;26/04/2012;Интерфакс;7840303927
DASB;ОАО "Дагестанская энергосбытовая компания";05/06/2012;24/04/2012;0;;0;;2011;23/04/2012;Интерфакс;0541031172
DZKL;ОАО "Дмитровский опытный завод алюминиевой и комбинированной ленты";01/06/2012;26/04/2012;;;;;2011;26/04/2012;Интерфакс;5007004028
STAG;ОАО "Станкоагрегат";31/05/2012;25/04/2012;25;;25;;2011;25/04/2012;Интерфакс;7721030981
MBLIZ;ОАО "ЛК "Лизингбизнес";30/05/2012;20/04/2012;;;;;2011;26/04/2012;Интерфакс;7702045686
NARP;ОАО "Находкинский морской рыбный порт";07/06/2012;01/05/2012;;;;;2011;25/04/2012;Интерфакс;2508012923
IZHZ;ОАО "Ижорские заводы";04/06/2012;28/04/2012;;;;;2011;25/04/2012;Интерфакс;7817005295
PRIK;ОАО "Трест Прикаспийэлектросетьстрой";21/05/2012;20/04/2012;0;;0;;2011;26/04/2012;Интерфакс;3009000057
RKKE;ОАО "Ракетно-космическая корпорация"Энергия"им.С.П.Королёва;23/06/2012;04/05/2012;;;;;2011;27/04/2012;Интерфакс;5018033937
ALRS;ОАО АК "Алроса";30/06/2012;11/05/2012;1.01;;;;2011;25/04/2012;Интерфакс;1433000147
BELNP;ОАО "Белозернефть";13/06/2012;04/05/2012;;;;;;27/04/2012;Интерфакс;8603002852
SZTT;ОАО "Свердловский завод трансформаторов тока";25/05/2012;16/05/2012;;;;;2011;24/04/2012;Интерфакс;
MTPV;ОАО "Ванинский морской торговый порт";15/06/2012;27/04/2012;505;1,007;;;2011;25/04/2012;Интерфакс;2709001590
ARMZ;ОАО "Арзамасский машиностроительный завод";05/06/2012;23/04/2012;;;;;2011;24/04/2012;Интерфакс;5243001767
AFKS;ОАО "АФК "Система";30/06/2012;21/05/2012;0.28;;;;2011;25/04/2012;Интерфакс;7703104630
SHEG;ОАО "Шахта Егозовская";04/06/2012;27/04/2012;0;0;;;2011;24/04/2012;Интерфакс;4212018367
CHGZ;ОАО "Черногорнефть";15/06/2012;04/05/2012;0;;;;2011;27/04/2012;Интерфакс;8620003528
MRKZ;ОАО "МРСК Северо-Запада";21/06/2012;14/05/2012;0;;;;2011;26/04/2012;Интерфакс;7802312751
MMBM;ОАО "Банк Москвы";04/06/2012;24/04/2012;18.4;;;;2011;26/04/2012;Интерфакс;7702000406
INGS;ОСАО "Ингосстрах";10/05/2012;19/04/2012;0;;0;;2011;23/04/2012;ДКК;7705042179
NVGZ;ОАО "Нижневартовскнефть";13/06/2012;04/05/2012;0;;;;2011;27/04/2012;Интерфакс;8603026148
ELTZ;ОАО "Электроцинк";14/06/2012;28/04/2012;0;;;;2011;26/04/2012;Интерфакс;1500000113
KSMV;ОАО "Завод " Красное Сормово";15/06/2012;27/04/2012;37.8;86.87;;;2011;26/04/2012;Интерфакс;5263006629
YRGL;ОАО "Ургалуголь";08/06/2012;27/04/2012;0;0;;;2011;24/04/2012;Интерфакс;2710001186
PRUG;ОАО "Приморскуголь";13/06/2012;27/04/2012;0;0;;;2011;24/04/2012;Интерфакс;2540016954
GMKN;ОАО "ГМК "Норильский Никель";29/06/2012;24/05/2012;196;;;;2011;24/04/2012;Интерфакс;8401005730
IVDK;ОАО "Ивановская домостроительная компания";31/05/2012;28/04/2012;0;0;;;2011;02/05/2012;Интерфакс;3728000058
RTKM;ОАО "Ростелеком";14/06/2012;28/04/2012;4.6959;4.6959;;;2011;28/04/2012;Интерфакс;7707049388
SLAV;ОАО "НГК "Славнефть";29/06/2012;14/05/2012;1.9;;;;2011;05/04/2012;Интерфакс;7707017509
STRO;ОАО "Стронег";25/05/2012;13/04/2012;1.73;;1.73;;2011;11/04/2012;Интерфакс;0265001659
VTBR;ОАО Банк ВТБ;08/06/2012;26/04/2012;0.00088;;;;2011;16/04/2012;Интерфакс;7702070139
VLOG;ОАО "Владимироблгаз";18/06/2012;18/05/2012;;;;;2011;03/05/2012;Интерфакс;3328101380
MRKC;ОАО "МРСК Центра";15/06/2012;07/05/2012;0.01;;;;2011;11/04/2012;Интерфакс;6901067107
KUBE;ОАО энергетики и электрификации Кубани;21/06/2012;04/05/2012;0;;;;2011;10/05/2012;Интерфакс;2309001660
PRTK;ОАО "ПРОТЕК";26/06/2012;08/05/2012;0.16;;;;2011;05/05/2012;Интерфакс;7715354473
LCRP;ОАО "Радиоприбор";01/06/2012;28/04/2012;0.12;;;;2011;02/05/2012;Интерфакс;2537015534
NZDS;ОАО "Монди Сыктывкарский ЛПК";23/04/2012;05/04/2012;4,040;3;4,040;3;2011;06/04/2012;Интерфакс;1121003135
VSCM;ОАО "Лафарж Цемент" (бывшее ОАО "Воскресенскцемент");25/06/2012;07/05/2012;;;;;2011;10/05/2012;Интерфакс;5005001494
SVAV;ОАО "СОЛЛЕРС";29/06/2012;21/05/2012;0;;;;2011;03/05/2012;Интерфакс;3528079131
APTK;ОАО "Аптечная сеть 36,6";20/06/2012;02/05/2012;0;;;;2011;28/04/2012;Интерфакс;7722266450
NYTV;ОАО "НЫТВА";08/06/2012;04/05/2012;0;;;;2011;05/05/2012;Интерфакс;5942400228
CHAZ;ОАО "Чебоксарский агрегатный завод";25/05/2012;12/04/2012;0;;;;2011;11/04/2012;Интерфакс;2126001687
SPKE;ОАО "Стройполимеркерамика";23/05/2012;04/04/2012;;10;;10;2011;05/04/2012;Интерфакс;4001000931
