Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
FSCO;Федеральная фондовая корпорация;26/06/2009;19/05/2009;-;-;-;-;2008;26/05/2009;Другое;7706024711
TGHK;ТГК-11 Холдинг;07/08/2009;26/05/2009;-;-;-;-;2008;08/07/2009;ДКК;7729604902
KRVA;Красный Восток Агро;27/08/2009;07/07/2009;-;-;-;-;1 полуг. 2009;09/07/2009;ДКК;1659052612;;;
ORNB;Оренбургнефть;29/09/2009;24/08/2009;962.25;962.25;962.25;962.25;1-е полугодие 2009;24/08/2009;Интерфакс;5612002469;;;
MSSB;Мосэнергосбыт;30/09/2009;26/08/2009;0.028319226;-;0.028319226;-;1-е полугодие 2009;26/08/2009;Интерфакс;7736520080;;;
KLNA;Концерн КАЛИНА;07/10/2009;18/08/2009;5,50;-;5,50;-;1-е полугодие 2009;31/08/2009;Интерфакс;6608000083;;;
APAT;Апатит ;08/10/2009;24/08/2009;не выплач.;390;не выплач.;390;2008;24/08/2009;Интерфакс;5103070023;;;
NVTK;НОВАТЭК;15/10/2009;09/09/2009;1;-;1;-;1-е полугодие 2009;05/09/2009;Интерфакс;6316031581;;;
ZAPR;Запорожское;01/11/2009;08/10/2009;-;-;-;-;2008;22/10/2009;ДКК;2352028594;;;
LJAZ;Лужский абразивный завод;09/11/2009;06/10/2009;5000;-;5000;-;1-е полугодие 2009;20/10/2009;ДКК;4710003532;;;
MIST;Мосинжстрой;17/11/2009;05/10/2009;-;1,05;не выплач.;1,05;2008;15/10/2009;ДКК;7703014137;;
CHKB;Чувашкабель;26/11/2009;05/11/2009;-;-;-;-;2008, 2007;06/11/2009;ДКК;2127009135;;
VOOS;Волжский оргсинтез;05/12/2009;31/10/2009;-;-;764;-;9 месяцев 2009;03/11/2009;Интерфакс;3435900563;;
TNBP;ТНК-ВР Холдинг;10/12/2009;30/10/2009;7,41;7,41;7,41;7,41;9 месяцев 2009;06/11/2009;ДКК;7225004092;;
NNSB;Нижегородская сбытовая компания;17/12/2009;06/10/2009;113,58;113,58;-;-;1-е полугодие 2009;02/11/2009;ДКК;5260148520;;
VIMP;Вымпел-Коммуникации;17/12/2009;12/11/2009;190,13;-;190,13;0,075 ;9 месяцев 2009;02/11/2009;Интерфакс;7713076301;;
UDMN;Удмуртнефть;18/12/2009;09/11/2009;2807,36 ;2807,36 ;2807,36;2807,36;9 месяцев 2009;10/11/2009;Интерфакс;1831034040;;
KAZT;КуйбышевАзот;19/12/2009;30/10/2009;0,4;0,4;0,4;0,4;1-е полугодие 2009;02/11/2009;Интерфакс;6320005915;;
RBCI;РБК Информационные Системы;18/12/2009;18/11/2009;не выплач.;-;-;-;2008;18/11/2009;Интерфакс;7736206959
NBAM;Находкинская база активного морского рыболовства;18/12/2009;30/10/2009;355;136,78;-;-;9 месяцев 2009;19/11/2009;ДКК;2508007948
VLHZ;Владимирский химический завод;18/12/2009;10/11/2009;-;-;-;-;9 месяцев 2009;01/12/2009;ДКК;3302000669
OMSB;Омская энергосбытовая компания;21/12/2009;13/11/2009;35.2837;35.2837;-;-;9 месяцев 2009;17/11/2009;ДКК;5503091518
BUSB;Бурятэнергосбыт;21/12/2009;13/11/2009;0.5018428;-;-;-;9 месяцев 2009;30/11/2009;ДКК;323125110
KABE;Каббалкэнерго;29/12/2009;23/11/2009;-;-;-;-;2008;24/11/2009;Интерфакс;711008455
RTVL;Роствертол;29/12/2009;23/11/2009; 0,03 ;-; 0,03 ;-;9 месяцев 2009;25/11/2009;Интерфакс;6161021690
