Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
MFGS;Славнефть-Мегионнефтегаз;26/06/2009;15/05/2009;-;-;не выплач.;2.81;2008;17/04/2009;Интерфакс;8605003932
METZ;Металлургический завод им.А.К.Серова;16/04/2009;01/03/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;17/03/2009;ДКК;6632004667
MBRR;Московский банк реконструкции и развития;26/06/2009;20/05/2009;не выплач.;-;не выплач.;-;2008;20/05/2009;Интерфакс;7702045051
MANO;Манометр;18/05/2009;22/04/2009;не выплач.;-;не выплач.;-;2008;29/04/2009;ДКК;7709100512
LPSB;Липецкая энергосбытовая компания;24/06/2009;06/05/2009;не выплач.;-;не выплач.;-;2008;08/05/2009;Интерфакс;4822001244
IRGZ;Иркутскэнерго;19/06/2009;04/05/2009;не выплач.;-;не выплач.;-;2008;04/05/2009;Интерфакс;3800000220
LJAZ;Лужский абразивный завод;22/05/2009;24/04/2009;-;-;-;-;2008;05/05/2009;ДКК;4710003532
WBDF;Вимм-Билль-Данн Продукты Питания;19/06/2009;08/05/2009;-;-;не выплач.;-;2008;12/05/2009;ДКК;7709342399
PRMG;Газпром промгаз;19/06/2009;25/05/2009;6,64;6,64;6,64;6,64;2008;27/04/2009;Интерфакс;7734034550
LIPO;Липецкоблгаз;26/06/2009;21/05/2009;-;-;5.7;-;2008;08/05/2009;ДКК;4824003938
LIPC;Липецкцемент;23/06/2009;22/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;25/05/2009;Интерфакс;4825002609
LEPS;Электромашиностроительный завод ЛЕПСЕ;05/06/2009;17/04/2009;-;-;1;1;2008;18/02/2009;Интерфакс;4345000930
IROG;Иркутскоблгаз;19/06/2009;18/05/2009;-;-;36,81;-;2008;09/06/2009;ДКК;3800000750
KZOS;Казаньоргсинтез;19/06/2009;04/05/2009;-;-;не выплач.;не выплач.;2008;23/03/2009;Интерфакс;1658008723
KLOG;Калугаоблгаз;19/06/2009;13/05/2009;не выплач.;-;не выплач.;-;2008;19/05/2009;Интерфакс;4000000015
KOOG;Костромаоблгаз;19/06/2009;14/05/2009;51,67;-;51,67;-;2008;19/05/2009;Интерфакс;4400000193
METP;Метрострой;19/06/2009;06/05/2009;30;37;30;37;2008;24/03/2009;Интерфакс;7813046910
MRKK;МРСК Северного Кавказа;19/06/2009;08/05/2009;не выплач.;-;не выплач.;-;2008;03/06/2009;ДКК;2632082033
MRKU;МРСК Урала;19/06/2009;12/05/2009;не выплач.;-;не выплач.;-;2008;13/05/2009;Интерфакс;6671163413
LEGS;Ленгазспецстрой;26/05/2009;15/04/2009;-;-;2485.5;-;2008;10/04/2009;Интерфакс;7806027191
LCRP;Радиоприбор;05/06/2009;20/04/2009;-;-;не выплач.;-;2008;15/05/2009;ДКК;2537015534
KZSB;Кузбасская энергетическая сбытовая компания;15/06/2009;08/05/2009;не выплач.;-;не выплач.;-;2008;12/05/2009;Интерфакс;4205109214
ROSN;НК Роснефть;19/06/2009;30/04/2009;1,92;-;1,92;-;2008;11/03/2009;Интерфакс;7706107510
